date,region,category,store_id,revenue,cost
2025-01-06,East,Apparel,E01,4820.45,3024.85
2025-01-06,East,Footwear,E01,4890.48,3265.23
2025-01-06,East,Accessories,E01,6124.97,3933.41
2025-01-06,East,Home,E01,3859.27,2510.59
2025-01-06,East,Apparel,E02,3450.49,2294.54
2025-01-06,East,Footwear,E02,5319.77,3505.34
2025-01-06,East,Accessories,E02,5793.82,3943.17
2025-01-06,East,Home,E02,5899.7,3631.55
2025-01-06,East,Apparel,E03,5982.36,3.64
2025-01-06,East,Footwear,E03,4588.31,3.03
2025-01-06,East,Accessories,E03,6716.42,4.39
2025-01-06,East,Home,E03,6751.25,4.42
2025-01-06,West,Apparel,W01,6642.01,4557.55
2025-01-06,West,Footwear,W01,5966.58,3607.29
2025-01-06,West,Accessories,W01,4486.41,2727.64
2025-01-06,West,Home,W01,4323.44,2714.24
2025-01-06,West,Apparel,W02,5747.36,3661.17
2025-01-06,West,Footwear,W02,4412.81,3061.01
2025-01-06,West,Accessories,W02,6073.84,3748.25
2025-01-06,West,Home,W02,5770.85,3681.49
2025-01-06,North,Apparel,N01,7163.69,4697.2
2025-01-06,North,Footwear,N01,6468.96,4383.37
2025-01-06,North,Accessories,N01,4248.52,2683.13
2025-01-06,North,Home,N01,4525.58,3142.07
2025-01-06,North,Apparel,N02,6383.4,4248.43
2025-01-06,North,Footwear,N02,5616.94,3627.9
2025-01-06,North,Accessories,N02,4551.67,2986.52
2025-01-06,North,Home,N02,4869.23,3358.71
2025-01-06,South,Apparel,S01,4906.4,3433.27
2025-01-06,South,Footwear,S01,5076.24,3069.66
2025-01-06,South,Accessories,S01,4439.29,3015.2
2025-01-06,South,Home,S01,4806.75,3067.48
2025-01-06,South,Apparel,S02,7029.06,4900.01
2025-01-06,South,Footwear,S02,5939.22,3991.58
2025-01-06,South,Accessories,S02,6089.83,3816.39
2025-01-06,South,Home,S02,5462.74,3515.14
2025-01-13,East,Apparel,E01,5177.71,3560.12
2025-01-13,East,Footwear,E01,4720.86,2916.86
2025-01-13,East,Accessories,E01,7131.64,4491.82
2025-01-13,East,Home,E01,5957.63,3665.63
2025-01-13,East,Apparel,E02,5610.93,3803.44
2025-01-13,East,Footwear,E02,4959.2,3136.28
2025-01-13,East,Accessories,E02,4342.46,2987.06
2025-01-13,East,Home,E02,6153.89,3727.98
2025-01-13,East,Apparel,E03,6398.95,3.89
2025-01-13,East,Footwear,E03,4914.99,3.32
2025-01-13,East,Accessories,E03,5744.45,3.72
2025-01-13,East,Home,E03,5305.44,3.65
2025-01-13,West,Apparel,W01,4982.24,3258.03
2025-01-13,West,Footwear,W01,5839.23,3685.56
2025-01-13,West,Accessories,W01,7218.82,4647.55
2025-01-13,West,Home,W01,5148.94,3205.06
2025-01-13,West,Apparel,W02,5119.83,3189.71
2025-01-13,West,Footwear,W02,4274.96,2834.77
2025-01-13,West,Accessories,W02,5083.74,3487.26
2025-01-13,West,Home,W02,4005.14,2671.02
2025-01-13,North,Apparel,N01,4315.63,2993.11
2025-01-13,North,Footwear,N01,5700.84,3867.8
2025-01-13,North,Accessories,N01,6044.91,3685.54
2025-01-13,North,Home,N01,5229.63,3382.01
2025-01-13,North,Apparel,N02,6423.1,4486.0
2025-01-13,North,Footwear,N02,4225.64,2678.76
2025-01-13,North,Accessories,N02,6274.84,3884.26
2025-01-13,North,Home,N02,5279.86,3314.98
2025-01-13,South,Apparel,S01,5168.64,3330.22
2025-01-13,South,Footwear,S01,6672.48,4037.24
2025-01-13,South,Accessories,S01,7493.04,5221.9
2025-01-13,South,Home,S01,7276.04,4486.63
2025-01-13,South,Apparel,S02,5161.66,3304.0
2025-01-13,South,Footwear,S02,4088.41,2855.88
